order_item_id,order_id,product_id,quantity,discount
1,904198,199,2,11
2,903136,354,1,6
3,901616,449,2,37
4,902772,325,4,8
5,902132,465,4,25
6,902522,48,2,37
7,906458,276,4,15
8,910467,324,1,16
9,907912,46,3,21
10,910496,98,3,36
11,912525,36,3,38
12,904586,239,2,1
13,902713,1,3,38
14,905406,50,1,18
15,909896,316,1,39
16,908729,360,3,22
17,912298,29,1,37
18,908557,20,3,2
19,913625,29,4,21
20,904771,16,2,7
21,902331,336,4,37
22,914588,484,2,17
23,904092,237,4,28
24,905694,424,4,28
25,906864,344,4,30
26,900413,401,4,34
27,900355,219,3,30
28,902197,488,3,36
29,908361,73,2,28
30,906559,148,1,37
31,904243,174,2,17
32,909708,24,4,27
33,912582,426,2,25
34,905024,469,1,37
35,905124,209,1,37
36,914414,487,2,13
37,912865,50,1,37
38,908296,287,2,37
39,910835,398,1,29
40,901072,421,4,26
41,914752,13,1,13
42,907037,349,4,9
43,910504,481,2,32
44,914981,469,2,29
45,913000,171,1,0
46,906321,134,2,18
47,914022,79,3,18
48,910851,270,2,39
49,912597,416,1,4
50,911135,447,2,24
51,902164,265,3,32
52,910812,302,1,20
53,914781,202,3,30
54,904542,339,4,13
55,901483,323,1,30
56,903469,32,2,15
57,912121,1,4,39
58,901843,144,4,24
59,904509,358,3,4
60,913844,109,1,24
61,905411,116,1,30
62,909306,416,2,14
63,900371,450,3,9
64,913908,356,2,38
65,909447,377,4,11
66,909579,339,4,13
67,909769,431,4,25
68,906895,79,2,6
69,913484,248,4,2
70,912588,5,2,25
71,911398,398,1,1
72,907871,325,3,31
73,914993,11,2,38
74,901912,27,4,12
75,901650,295,2,1
76,910843,101,2,10
77,911561,263,3,36
78,905611,130,2,35
79,905098,177,3,17
80,909952,42,3,14
81,906635,151,1,22
82,908343,21,1,13
83,908230,375,4,29
84,914505,113,1,8
85,909247,471,3,33
86,912688,129,3,24
87,903707,285,4,22
88,900899,307,4,10
89,903152,163,1,5
90,900883,291,4,10
91,908848,37,2,11
92,905700,431,4,31
93,910309,146,3,39
94,903254,353,4,11
95,909436,134,2,16
96,911095,74,2,26
97,904906,412,2,29
98,912480,58,3,8
99,902174,332,1,1
100,909747,196,3,24
101,906745,113,3,21
102,900595,25,1,16
103,905438,455,1,27
104,912547,294,3,35
105,912040,212,3,37
106,906874,381,4,30
107,909631,311,2,11
108,910003,44,3,11
109,913943,407,2,19
110,908913,315,1,12
111,912609,72,3,11
112,900821,233,1,36
113,909997,250,4,35
114,909787,465,4,32
115,911449,413,2,26
116,912203,48,2,9
117,900012,227,4,12
118,912000,438,4,39
119,906232,26,4,37
120,906242,377,2,3
121,900408,138,1,10
122,906058,331,4,3
123,909609,463,1,30
124,905808,82,2,30
125,904164,196,1,8
126,908112,475,2,4
127,903737,109,2,23
128,912132,69,3,2
129,913976,326,4,35
130,902839,138,1,35
131,913671,403,2,10
132,911343,242,1,4
133,908537,76,1,1
134,904797,187,4,37
135,906264,24,4,12
136,902923,336,2,11
137,914602,73,2,15
138,911274,333,2,37
139,904678,274,2,15
140,910484,416,1,10
141,903388,236,3,8
142,903933,125,3,23
143,911732,275,4,34
144,903905,422,1,37
145,901494,149,2,23
146,912089,440,3,37
147,907791,469,3,29
148,905335,313,4,34
149,900474,305,2,20
150,906670,124,4,16
151,906948,134,4,23
152,907423,55,3,26
153,914654,2,1,29
154,901280,262,1,12
155,900844,209,1,2
156,903599,254,2,27
157,904913,243,4,21
158,905968,30,1,17
159,908136,370,4,33
160,905292,311,2,9
161,908178,11,1,37
162,904942,25,3,20
163,911906,419,1,32
164,912663,371,1,23
165,911724,457,4,12
166,900575,89,1,38
167,908472,365,4,22
168,900768,136,1,30
169,903586,323,1,39
170,904690,474,4,9
171,907044,358,2,0
172,908796,500,2,1
173,902777,86,3,1
174,906568,127,2,24
175,910759,280,1,29
176,901517,149,4,15
177,910744,144,4,19
178,913772,174,4,16
179,907741,420,2,5
180,912716,138,1,27
181,909719,450,1,5
182,906253,481,4,0
183,909683,347,1,23
184,905572,273,3,13
185,914466,459,2,26
186,906616,125,1,12
187,908237,201,4,38
188,903467,441,2,13
189,905592,266,4,23
190,905371,203,1,8
191,908103,207,1,21
192,910441,450,4,4
193,903195,273,2,34
194,909735,203,1,27
195,912317,491,3,36
196,901507,102,2,29
197,909880,288,4,8
198,902371,453,3,25
199,906401,146,1,20
200,912897,302,1,3
201,902420,229,4,16
202,909646,240,4,33
203,901323,46,4,28
204,913194,370,3,18
205,902639,130,1,33
206,902635,359,2,8
207,906654,27,2,10
208,901000,392,3,13
209,906589,363,2,27
210,906112,348,1,36
211,906182,121,2,18
212,909876,245,3,39
213,906496,28,3,9
214,902504,56,1,35
215,910995,49,3,15
216,903893,325,2,14
217,907735,350,1,17
218,911281,107,4,5
219,907086,91,2,23
220,906756,155,1,22
221,906530,89,1,28
222,908688,411,1,22
223,900500,268,1,30
224,914946,4,2,26
225,913451,180,1,34
226,912878,313,1,26
227,905586,247,1,33
228,914090,34,4,24
229,910519,306,2,4
230,904440,280,4,20
231,913356,420,3,10
232,903319,378,3,18
233,914185,437,3,15
234,902488,273,1,5
235,900924,32,3,37
236,911035,372,1,25
237,913488,54,1,37
238,904040,316,1,27
239,901023,55,2,21
240,904672,364,2,6
241,902351,493,3,0
242,904591,446,3,12
243,911264,443,3,16
244,909009,460,2,20
245,914146,390,2,0
246,900557,416,2,16
247,904154,130,2,19
248,913163,123,2,29
249,913377,144,3,16
250,909598,365,3,26
251,911241,183,4,26
252,914660,380,4,3
253,914576,91,1,32
254,908816,68,4,0
255,905379,156,3,10
256,903674,80,4,7
257,903314,279,4,34
258,911591,47,2,29
259,908458,365,3,36
260,906410,266,4,39
261,911047,253,4,23
262,913889,189,4,2
263,907537,338,1,30
264,902362,227,2,37
265,907412,181,1,3
266,907461,196,3,3
267,903968,85,3,7
268,910571,250,2,35
269,905922,315,2,1
270,909098,346,1,2
271,903150,16,2,30
272,914630,164,4,9
273,906652,19,3,25
274,903389,277,4,1
275,910690,227,1,13
276,907271,295,2,1
277,906730,37,1,17
278,908221,185,1,26
279,909906,277,1,8
280,913633,469,2,31
281,909580,397,3,10
282,907417,257,1,20
283,914590,291,4,32
284,902820,240,3,32
285,912385,97,4,17
286,908942,486,4,23
287,913976,434,4,11
288,908873,181,1,14
289,905142,137,1,20
290,904618,95,4,5
291,902604,86,1,37
292,901178,119,1,6
293,913710,57,4,17
294,911404,134,4,21
295,910260,48,4,31
296,903554,315,4,36
297,906136,347,3,6
298,908483,87,4,19
299,911629,94,1,12
300,900214,195,2,35
301,914911,340,1,28
302,907654,115,2,20
303,908849,406,3,1
304,903484,405,2,28
305,901872,399,4,18
306,914935,433,1,33
307,911173,250,3,7
308,912530,106,2,31
309,910724,375,3,12
310,905399,79,1,17
311,900735,178,2,3
312,914479,431,2,17
313,910125,335,1,13
314,903982,197,4,7
315,900982,41,4,18
316,911145,84,2,23
317,912424,278,2,15
318,900462,500,2,36
319,904213,375,1,0
320,901607,348,2,14
321,912099,249,1,8
322,911620,91,4,17
323,911287,461,2,3
324,913393,246,1,4
325,902857,446,2,6
326,913303,206,2,1
327,905209,138,2,2
328,902903,458,3,0
329,903531,379,1,17
330,913173,147,3,6
331,905825,91,2,5
332,913851,88,1,33
333,906124,233,3,35
334,902023,43,4,4
335,911994,321,2,20
336,901856,283,2,22
337,901019,136,2,34
338,912873,438,3,0
339,909694,337,4,34
340,914659,489,1,18
341,912139,28,4,29
342,909695,44,2,5
343,905813,107,4,30
344,903594,475,1,13
345,905171,481,4,15
346,913984,408,2,28
347,903265,193,1,38
348,914894,364,4,39
349,902760,264,2,18
350,900103,493,3,20
351,901674,128,2,32
352,901880,2,3,29
353,909452,367,2,13
354,908531,146,4,30
355,911454,463,1,25
356,911381,125,2,17
