order_id,customer_id,order_date,total_amount,payment_method,order_status
900001,10948,2023-09-22,10965,Debit Card,Delivered
900002,13908,2024-05-15,17639,Credit Card,Cancelled
900003,11668,2023-10-06,4604,Net Banking,Delivered
900004,12983,2025-01-18,22317,UPI,Delivered
900005,12540,2023-06-08,2310,Net Banking,Delivered
900006,12114,2023-03-01,16300,COD,Delivered
900007,10391,2024-05-13,15837,COD,Delivered
900008,10083,2023-11-13,23503,Credit Card,Delivered
900009,11003,2024-08-09,2188,UPI,Delivered
900010,10481,2024-05-02,17052,COD,Delivered
900011,10777,2024-04-09,2062,Net Banking,Returned
900012,14090,2023-08-16,17677,Net Banking,Delivered
900013,11755,2024-10-27,24957,Credit Card,Delivered
900014,11249,2023-12-22,17871,COD,Delivered
900015,11137,2024-04-10,17060,Debit Card,Delivered
900016,12700,2025-04-01,302,COD,Delivered
900017,13257,2025-03-09,17367,Credit Card,Delivered
900018,11536,2025-01-22,20411,COD,Delivered
900019,13245,2023-08-15,1063,UPI,Delivered
900020,10523,2023-06-18,16054,Credit Card,Delivered
900021,11695,2023-10-11,2782,Debit Card,Cancelled
900022,12253,2025-05-07,11221,Net Banking,Delivered
900023,14838,2023-09-19,17408,COD,Delivered
900024,13610,2025-03-12,19524,Net Banking,Delivered
900025,10278,2025-05-09,22030,Credit Card,Delivered
900026,10148,2023-12-30,19107,Net Banking,Delivered
900027,14874,2024-06-04,22065,UPI,Delivered
900028,14515,2025-05-10,13354,Credit Card,Delivered
900029,12586,2023-04-08,2775,Credit Card,Cancelled
900030,13655,2023-01-12,21811,COD,Delivered
900031,13621,2025-02-22,6349,Credit Card,Delivered
900032,12440,2024-08-05,9556,UPI,Delivered
900033,10940,2024-02-21,6297,COD,Delivered
900034,13710,2024-05-15,7724,UPI,Returned
900035,14338,2023-05-15,7086,Debit Card,Delivered
900036,11224,2023-09-16,23391,COD,Delivered
900037,13364,2024-05-31,13713,Credit Card,Delivered
